Element ID	Element Name	Description
2.E.7.e	Object or component oriented development software	Software to create or maintain applications using object-oriented programming concepts.
2.E.7.f	Program testing software	Software to test or evaluate applications to ensure they comply with specified requirements.
2.E.7.g	Requirements analysis and system architecture software	Software to create, manage, or monitor product development processes to comply with standards, specifications, or risk management policies.
2.E.7.h	Web platform development software	Software to create or maintain applications accessed through web sites or using web technologies such as HTML.
2.E.7.i	Compiler and decompiler software	Software to transform code from one language to another. May convert human-readable source code into machine language.
2.E.8	Educational or reference software	Software to support learning or to access reference information.
2.E.8.a	Foreign language software	Software to translate text from one language to another, or to aid in learning or translating languages.
2.E.8.b	Computer based training software	Software to create, manage, or provide instructional material or courses accessed from a computer.
2.E.8.c	Spell checkers	Software to check the spelling of words in a document against a dictionary of preferred spellings.
2.E.8.d	Route navigation software	Software to assist users in moving from one location to another along a selected path or route.
2.E.8.e	Multi-media educational software	Software to educate children or students using interactive or gaming elements.
2.E.8.f	Dictionary software	Software to provide the meaning and spelling of words. May include etymology or thesaurus features.
2.E.8.g	Voice synthesizer and recognition software	Software to generate or understand spoken words in order to provide alternative or easier-to-use application interfaces.
2.E.8.h	Geographic information system	Software to capture, manage, analyze, or display geographically-referenced information.
2.E.9	Industry specific software	Software to support specific industries or specialized fields.
2.E.9.a	Aviation ground support software	Software to enable aircraft ground support operations. May include aircraft maintenence or baggage handling features.
2.E.9.b	Facilities management software	Software to track, monitor, or analyze a facility's assets, space availability, or tenant information.
2.E.9.c	Computer aided design CAD software	Software to design 2D or 3D objects. May include engineering or architectural features.
2.E.9.d	Analytical or scientific software	Software to capture data, perform analysis, or generate reports or visualizations to support scientific research.
2.E.9.e	Compliance software	Software to monitor, check, or correct processes to achieve compliance with standards or federal, state, or local regulations.
2.E.9.f	Flight control software	Software to identify and respond to changes in aircraft stability or control characteristics in order to maintain flight performance.
2.E.9.g	Industrial control software	Software to control, configure, or monitor industrial processes. May communicate with intelligent electronic devices.
2.E.9.h	Library software	Software to acquire, catalog, search, or manage circulation of books or other library materials.
2.E.9.i	Medical software	Software to evaluate, plan, or redesign healthcare procedures. May include reporting or visualization features.
2.E.9.j	Point of sale POS software	Software to enable billing and purchase of goods or services at retail markets or shops. May provide sales reports.
2.E.9.k	Computer aided manufacturing CAM software	Software to control machine tools which fabricate or assemble objects.
2.E.9.l	Manufacturing execution system MES software	Software to measure, control, or monitor production activities. May include material tracking, quality control, or scheduling features.
2.E.9.m	Computer aided design CAD and computer aided manufacturing CAM system	Software to create and fabricate objects using computer-aided design (CAD) and computer-aided manufacturing (CAM) features.
2.E.9.n	Legal management software	Software to enable operations of legal offices or courts. May include management of appointments, plantiffs or defendants, documents, or fees.
2.E.9.o	Risk management data and analysis software	Software to collect, analyze, or visualize data to identify or assess risks.
2.E.10	Network applications software	Software to provide or access services over a network.
2.E.10.a	Application server software	Software to support or run applications which provide services through a communication protocol.
2.E.10.b	Desktop communications software	Software to provide or interact with telephone system, address book, fax, or e-mail services.
2.E.10.c	Interactive voice response software	Software to interact with telephone or voice mail callers using a pre-recorded database of voice messages, accepting input from voice or key presses.
2.E.10.d	Internet directory services software	Software to create or manage the mapping of files, users, or other network resources to unique identifiers.
2.E.10.e	Internet browser software	Software to view the contents of web pages and to navigate from one page to another.
2.E.11	Network management software	Software to monitor, control, or maintain computer networks.
2.E.11.a	Network monitoring software	Software to monitor, analyze, or detect network systems.
2.E.11.b	Network operating system enhancement software	Software to optimize the operations of OS software to maximize network speed or reliability.
2.E.11.c	Administration software	Software to manage computers, peripherals, or printers connected to a network. May detect new hardware or install software on connected devices.
2.E.11.d	Internet protocol IP multimedia subsystem software	Software to enable services using the IP Multimedia Subsystem standard.
2.E.11.e	Cloud-based management software	Software to manage hybrid, private, or public cloud-based systems and infrastructure.
2.E.12	Networking software	Software to manage or support communication or resource sharing across networks.
2.E.12.a	Access software	Software to enable remote access of a computer system across a network.
2.E.12.b	Communications server software	Software to provide voice, fax, or data messaging services for an office or workgroup.
2.E.12.c	Contact center software	Software to manage customer interactions across multiple channels such as telephone, email, or social media.
2.E.12.d	Fax software	Software to send, receive, or manage faxes.
2.E.12.e	LAN software	Software to enable communication across a local area network (LAN).
2.E.12.f	Storage networking software	Software to store or retrieve data on a network-attached device such as a hard drive or tape drive.
2.E.12.g	Switch or router software	Software to connect a local area network (LAN) to the Internet. May provide network address translation (NAT) or route traffic between LANs.
2.E.12.h	WAN switching software and firmware	Software to enable communication across a wide-area network (WAN), which extends over a large geographic area.
2.E.12.i	Wireless software	Software to enable communication over wireless network protocols.
2.E.12.j	Network connectivity terminal emulation software	Software to communicate with remote host computers by imitating a hardware-based network terminal such as a VT-100.
2.E.12.k	Gateway software	Software to enable data flow between two networks.
2.E.12.l	Bridge software	Software to forward traffic between network segments, based on data link layer information.
2.E.12.m	Platform interconnectivity software	Software to enable communication between computers running different operating systems.
2.E.12.n	Software defined networking/ virtualization software	Software to control or direct network traffic using virtual networks which work in conjunction with a physical network.
2.E.13	Operating environment software	Software to run or manage computer systems or support applications.
2.E.13.a	Filesystem software	Software to manage or create a file system for a computing device.
2.E.13.b	Network operation system software	Software to connect computers or devices to a network by providing or enhancing the base operating system.
2.E.13.c	Operating system software	Software to provide the operational interface to a computer and provide higher-level services and APIs.
2.E.13.d	Computer imaging software	Software to create, manage, or apply images of a computer's operating system and files, to configure or restore computers to a known state.
2.E.14	Security and protection software	Software to protect systems or data from unauthorized access or threats.
2.E.14.a	Authentication server software	Software to provide services for authenticating users across a network.
2.E.14.b	Network security or virtual private network VPN management software	Software to manage network access capabilities or policies.
2.E.14.c	Network security and virtual private network VPN equipment software	Software to configure or maintain security or virtual private network (VPN) equipment.
2.E.14.d	Transaction security and virus protection software	Software to protect sensitive information, ensure the safe transfer of data, or detect or remove malware or computer viruses.
2.E.14.e	Cloud-based protection or security software	Software to protect information and resources in cloud environments, or to protect systems by using a cloud-based service for updates or configuration.
2.E.15	Utility and device driver software	Software to maintain system performance or to enable hardware devices to function properly.
2.E.15.a	Data conversion software	Software to transform information from one format to another.
2.E.15.b	Data compression software	Software to encode data in order to reduce storage space or network transmission time.
2.E.15.c	Device drivers or system software	Software to enable communication between hardware devices and applications or operating systems.
2.E.15.d	Voice recognition software	Software to convert spoken words into electronic text.
2.E.15.e	Storage media loading software	Software to control devices which automatically load or store data on media such as tapes, discs, or drives.
2.E.15.f	Backup or archival software	Software to back up information from computer systems to additional destinations such as networked servers or tape drives.
2.E.15.g	Text to speech conversion software	Software to convert electronic text into spoken words.
2.E.15.h	Eye tracking software	Software to track eye movements via a camera or similar device. May emulate a computer mouse or other input device.
2.E.16	Information exchange software	Software to send, receive, or manage information between systems or users.
2.E.16.a	Electronic mail software	Software to compose, send, or receive email.
2.E.16.b	Video conferencing software	Software to enable audio or video conferences between participants using networked devices.
2.E.16.c	Network conferencing software	Software to share files, remotely control computers, or transmit real-time data between participants using networked devices.
2.E.16.d	Instant messaging software	Software to enable private communication between participants using networked devices. May include chat rooms or notification services.
2.E.16.e	Map creation software	Software to place data or metadata on a map. May include surveying or engineering features.
2.E.16.f	Mobile operator specific application software	Software to support operations of mobile network or telecommunications service providers. May include billing, network planning, or customer service features.
2.E.16.g	Mobile messaging service software	Software to send or receive text or voice messages on a mobile device. May include SMS or voice mail capabilities.
2.E.16.h	Mobile location based services software	Software to provide content or services based on a device's geographical location.
2.E.16.i	Cloud-based data access and sharing software	Software to share or co-author computer files through cloud computing, where documents are stored in a central "cloud" of networked servers.
2.E.17	System management software	Software to monitor, manage, or maintain IT systems, applications, and infrastructure.
2.E.17.a	Enterprise system management software	Software to manage activities across enterprise IT systems, such as evaluating capacity or server availability, monitoring user activities, or installing software.
3	Experience Requirements	Work experience, training, or certifications needed for certain jobs.
3.A	Experience and Training	The amount of related work experience and training needed for a job.
3.A.1	Related Work Experience	Amount of related work experience required to get hired for the job?
3.A.2	On-Site or In-Plant Training	Amount of on-site or in-plant training (e.g., organized class room instruction) required to perform the job?
3.A.3	On-the-Job Training	Amount of on the job training required to perform the job?
3.A.4	Apprenticeship	Apprenticeship is a combination of on-the-job training and related instruction in which workers learn the practical and theoretical aspects of a highly skilled occupation. Apprenticeship programs can be sponsored by individual employers, joint employer and labor groups, and/or employer associations.
3.A.4.a	Job-related Apprenticeship	Completion of a job-related apprenticeship to perform the job.
3.D	Licensing	Required licenses, certifications, or registrations needed to perform a job.
3.D.1	License, Certificate, or Registration Required	At least one license, certificate, or registration is required to perform in this job, including a driver's or vehicle operator's license. The specific license(s), certificate(s), or registration(s) are listed.
3.D.2	Specific License or Certificate Required	Specific education, training, examination, or other requirements for obtaining the licenses, certificates, or registration needed to perform in this job
3.D.2.a	Post-Secondary Degree	Obtaining the licenses, certificates, or registration needed to perform in this job requires a post-secondary degree, for example an Associate's or Bachelor's degree.
3.D.2.b	Graduate Degree	Obtaining the licenses, certificates, or registration needed to perform in this job requires a graduate degree, for example, a Master's or Doctoral degree.
3.D.2.c	On-the-Job Training	Obtaining the licenses, certificates, or registration needed to perform in this job requires on-the-job training, including apprenticeships, internships, and other supervised experiences.
3.D.2.d	Examination	Obtaining the licenses, certificates, or registration needed to perform in this job requires an examination, for example, written, oral, or performance assessments.
3.D.2.e	Character References	Obtaining the licenses, certificates, or registration needed to perform in this job requires one or more character references from other individuals.
3.D.4	Additional Education and Training	Retaining the licenses, certificates, or registration needed to perform in this job requires additional course work.
3.D.5	Organization and Agency Requirements	Organizations or agencies requiring the specific licenses, certificates, or registration needed to perform in a job
3.D.5.a	Legal Requirement	Federal, state, or local law requires possessing specific licenses, certificates, or registration for performance in this job.
3.D.5.b	Employer Requirement	Employers require possessing specific licenses, certificates, or registration for performance in this job.
3.D.5.c	Union, Guild, or Professional Association	A union or professional association requires possessing specific licenses, certificates, or registration for performance in this job.
4	Occupational Requirements	What jobs involve, including work activities, conditions, and context.
4.A	Work Activities	Activities performed across a number of occupations. This hierarchy includes generalized, intermediate, and detailed work activities.
4.A.1	Information Input	Where and how are the information and data gained that are needed to perform this job?
4.A.1.a	Looking for and Receiving Job-Related Information	How is information obtained to perform this job?
4.A.1.a.1	Getting Information	Observing, receiving, and otherwise obtaining information from all relevant sources.
4.A.1.a.1.a	Study details of artistic productions.	
4.A.1.a.1.a.1	Review art or design materials.	
4.A.1.a.1.a.2	Study details of musical compositions.	
4.A.1.a.1.a.3	Review production information to determine costume or makeup requirements.	
4.A.1.a.1.a.4	Study scripts to determine project requirements.	
4.A.1.a.1.a.5	Review audio or video recordings.	
4.A.1.a.1.b	Read documents or materials to inform work processes.	
4.A.1.a.1.b.1	Read materials to determine needed actions.	
4.A.1.a.1.b.2	Read maps to determine routes.	
4.A.1.a.1.b.3	Review customer information.	
4.A.1.a.1.b.4	Read work orders or other instructions to determine product specifications or materials requirements.	
4.A.1.a.1.b.5	Read technical information needed to perform maintenance or repairs.	
4.A.1.a.1.b.6	Study blueprints or other instructions to determine equipment setup requirements.	
4.A.1.a.1.b.7	Read documents to gather technical information.	
4.A.1.a.1.b.8	Review technical documents to plan work.	
4.A.1.a.1.b.9	Review blueprints or specifications to determine work requirements.	
4.A.1.a.1.b.10	Review work orders or schedules to determine operations or procedures.	
4.A.1.a.1.b.11	Review blueprints or other instructions to determine operational methods or sequences.	
4.A.1.a.1.b.12	Evaluate reports or designs to determine work needs.	
4.A.1.a.1.b.13	Read work orders or descriptions of problems to determine repairs or modifications needed.	
4.A.1.a.1.b.14	Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities.	
4.A.1.a.1.b.15	Review details of technical drawings or specifications.	
4.A.1.a.1.b.16	Read work orders to determine material or setup requirements.	
4.A.1.a.1.c	Investigate criminal or legal matters.	
4.A.1.a.1.c.1	Collect evidence for legal proceedings.	
4.A.1.a.1.c.2	Examine crime scenes to obtain evidence.	
4.A.1.a.1.c.3	Investigate crimes committed within organizations.	
4.A.1.a.1.c.4	Investigate legal issues.	
4.A.1.a.1.c.5	Examine records or other types of data to investigate criminal activities.	
4.A.1.a.1.c.6	Conduct hearings to investigate legal issues.	
4.A.1.a.1.c.7	Investigate illegal or suspicious activities.	
4.A.1.a.1.d	Gather information from physical or electronic sources.	
4.A.1.a.1.d.1	Obtain property information.	
4.A.1.a.1.d.2	Use databases to locate investigation details or other information.	
4.A.1.a.1.d.3	Search information sources to find specific data.	
4.A.1.a.1.d.4	Gather financial records.	
4.A.1.a.1.d.5	Retrieve information from electronic sources.	
4.A.1.a.1.d.6	Gather information in order to provide services to clients.	
4.A.1.a.1.d.7	Search files, databases or reference materials to obtain needed information.	
4.A.1.a.1.d.8	Collect archival data.	
4.A.1.a.1.e	Consult legal materials or public records.	
4.A.1.a.1.e.1	Evaluate information related to legal matters in public or personal records.	
4.A.1.a.1.e.2	Research relevant legal materials to aid decision making.	
4.A.1.a.1.f	Gather data about operational or development activities.	
4.A.1.a.1.f.1	Gather organizational performance information.	
4.A.1.a.1.f.2	Gather information about work conditions or locations.	
4.A.1.a.1.f.3	Gather physical survey data.	
4.A.1.a.1.f.4	Collect data about project sites.	
4.A.1.a.1.g	Obtain information about goods or services.	
4.A.1.a.1.g.1	Obtain information about goods or services.	
4.A.1.a.1.h	Research issues related to earth sciences.	
4.A.1.a.1.h.1	Research hydrologic features or processes.	
4.A.1.a.1.h.2	Research geological features or processes.	
4.A.1.a.1.h.3	Conduct climatological research.	
4.A.1.a.1.i	Research organizational behavior, processes, or performance.	
4.A.1.a.1.i.1	Conduct surveys in organizations.	
4.A.1.a.1.i.2	Research industrial processes or operations.	
4.A.1.a.1.i.3	Conduct scientific research of organizational behavior or processes.	
4.A.1.a.1.j	Investigate the environmental impact of industrial or development activities.	
4.A.1.a.1.j.1	Research impacts of environmental conservation initiatives.	
4.A.1.a.1.j.2	Research issues related to the environment or sustainable business practices.	
4.A.1.a.1.j.3	Investigate the environmental impact of projects.	
4.A.1.a.1.j.4	Monitor environmental impacts of production or development activities.	
4.A.1.a.1.j.5	Research environmental impact of industrial or development activities.	
4.A.1.a.1.j.6	Identify environmental concerns.	
4.A.1.a.1.j.7	Evaluate environmental impact of operational or development activities.	
4.A.1.a.1.k	Gather information for news stories.	
4.A.1.a.1.k.1	Gather information for news stories.	
4.A.1.a.1.l	Collect information about patients or clients.	
4.A.1.a.1.l.1	Gather medical information from patient histories.	
4.A.1.a.1.l.2	Collect medical information from patients, family members, or other medical professionals.	
4.A.1.a.1.l.3	Collect information from people through observation, interviews, or surveys.	
4.A.1.a.1.l.4	Collect information about clients.	
4.A.1.a.1.m	Research agricultural processes or practices.	
4.A.1.a.1.m.1	Research livestock management methods.	
4.A.1.a.1.m.2	Research crop management methods.	
4.A.1.a.1.m.3	Research sustainable agricultural processes or practices.	
4.A.1.a.1.n	Collect data about consumer needs or opinions.	
4.A.1.a.1.n.1	Conduct market research.	
4.A.1.a.1.n.2	Gather customer or product information to determine customer needs.	
4.A.1.a.1.n.3	Obtain personal or financial information about customers or applicants.	
4.A.1.a.1.n.4	Conduct opinion surveys or needs assessments.	
4.A.1.a.1.n.5	Collect data about customer needs.	
4.A.1.a.1.o	Investigate individuals' background, behavior, or activities.	
4.A.1.a.1.o.1	Observe individuals' activities to gather information or compile evidence.	
4.A.1.a.1.o.2	Investigate personal characteristics or activities of individuals.	
4.A.1.a.1.p	Research biological or ecological phenomena.	
4.A.1.a.1.p.1	Research genetic characteristics or expression.	
4.A.1.a.1.p.2	Research diseases or parasites.	
4.A.1.a.1.p.3	Conduct research of processes in natural or industrial ecosystems.	
4.A.1.a.1.p.4	Research microbiological or chemical processes or structures.	
4.A.1.a.1.p.5	Classify organisms based on their characteristics or behavior.	
4.A.1.a.1.p.6	Examine characteristics or behavior of living organisms.	
4.A.1.a.1.q	Obtain formal documentation or authorization.	
4.A.1.a.1.q.1	Obtain documentation to authorize activities.	
4.A.1.a.1.q.2	Obtain copyrights or other legal permissions.	
4.A.1.a.1.q.3	Obtain written authorization to perform activities.	
4.A.1.a.1.r	Research historical or social issues.	
4.A.1.a.1.r.1	Conduct anthropological or archaeological research.	
4.A.1.a.1.r.2	Conduct historical research.	
4.A.1.a.1.r.3	Conduct research on social issues.	
4.A.1.a.1.s	Research healthcare issues.	
4.A.1.a.1.s.1	Conduct research to increase knowledge about medical issues.	
4.A.1.a.1.s.2	Collect information about community health needs.	
4.A.1.a.1.t	Research technology designs or applications.	
4.A.1.a.1.t.1	Research engineering aspects of biological or chemical processes.	
4.A.1.a.1.t.2	Research engineering applications of emerging technologies.	
4.A.1.a.1.t.3	Research design or application of green technologies.	
4.A.1.a.1.t.4	Conduct research to gain information about products or processes.	
4.A.1.a.1.t.5	Research advanced engineering designs or applications.	
4.A.1.a.1.t.6	Research energy production, use, or conservation.	
4.A.1.a.1.t.7	Research human performance or health factors related to engineering or design activities.	
4.A.1.a.1.t.8	Research new technologies.	
4.A.1.a.1.t.9	Research product safety.	
4.A.1.a.1.t.10	Research methods to improve food products.	
4.A.1.a.1.u	Investigate incidents or accidents.	
4.A.1.a.1.u.1	Investigate accidents to determine causes.	
4.A.1.a.1.u.2	Examine debris to obtain information about causes of fires.	
4.A.1.a.1.u.3	Investigate transportation incidents, violations, or complaints.	
4.A.1.a.1.u.4	Investigate industrial or transportation accidents.	
4.A.1.a.1.v	Investigate organizational or operational problems.	
4.A.1.a.1.v.1	Investigate system, equipment, or product failures.	
4.A.1.a.1.v.2	Investigate work related complaints to determine corrective actions.	
4.A.1.a.1.v.3	Investigate safety of work environment.	
4.A.1.a.1.w	Interview people to obtain information.	
4.A.1.a.1.w.1	Interview employees, customers, or others to collect information.	
4.A.1.a.1.w.2	Interview others for news or entertainment purposes.	
4.A.1.a.1.w.3	Interview clients to gather financial information.	
4.A.1.a.1.w.4	Interview people to obtain information about actions or status of individuals.	
4.A.1.a.1.w.5	Interview people to gather information about criminal activities.	
4.A.1.a.1.w.6	Interview patients to gather medical information.	
4.A.1.a.1.w.7	Interview claimants to get information related to legal proceedings.	
4.A.1.a.1.w.8	Interview clients to gather information about their backgrounds, needs, or progress.	
4.A.1.a.1.w.9	Interview witnesses, suspects, or claimants.	
4.A.1.a.2	Monitoring Processes, Materials, or Surroundings	Monitoring and reviewing information from materials, events, or the environment, to detect or assess problems.
4.A.1.a.2.a	Monitor equipment operation.	
4.A.1.a.2.a.1	Monitor broadcasting operations to ensure proper functioning.	
4.A.1.a.2.a.2	Monitor medical equipment to ensure proper functioning.	
4.A.1.a.2.a.3	Monitor engine operation or functioning.	
4.A.1.a.2.a.4	Monitor lubrication of equipment or workpieces.	
4.A.1.a.2.a.5	Monitor equipment operation to ensure proper functioning.	
4.A.1.a.2.a.6	Observe equipment in operation to detect potential problems.	
4.A.1.a.2.a.7	Watch operating equipment to detect malfunctions.	
4.A.1.a.2.a.8	Monitor green energy equipment, systems, or facilities.	
4.A.1.a.2.a.9	Assess equipment functioning.	
4.A.1.a.2.a.10	Monitor equipment operation to ensure that products are not flawed.	
4.A.1.a.2.a.11	Monitor instruments to ensure proper production conditions.	
4.A.1.a.2.a.12	Monitor video displays of medical equipment to ensure proper functioning.	
4.A.1.a.2.a.13	Monitor equipment gauges or displays to ensure proper operation.	
4.A.1.a.2.a.14	Monitor equipment fluid levels.	
4.A.1.a.2.b	Monitor operations to ensure adequate performance.	
4.A.1.a.2.b.1	Monitor industrial energy consumption or management.	
4.A.1.a.2.b.2	Monitor facilities or operational systems.	
4.A.1.a.2.b.3	Monitor operational quality or safety.	
4.A.1.a.2.b.4	Monitor extraction operations.	
4.A.1.a.2.b.5	Monitor organizational procedures to ensure proper functioning.	
4.A.1.a.2.b.6	Monitor construction operations.	
4.A.1.a.2.b.7	Monitor vehicle movement or location.	
4.A.1.a.2.b.8	Monitor recreational facility operations.	
4.A.1.a.2.b.9	Inspect operational processes.	
4.A.1.a.2.b.10	Track goods or materials.	
4.A.1.a.2.b.11	Monitor food services operations to ensure procedures are followed.	
4.A.1.a.2.b.12	Monitor loading processes to ensure they are performed properly.	
4.A.1.a.2.b.13	Monitor biofuel production operations.	
4.A.1.a.2.b.14	Inspect cargo to ensure it is properly loaded or secured.	
4.A.1.a.2.b.15	Monitor the productivity or efficiency of industrial operations.	
4.A.1.a.2.b.16	Monitor operational procedures in technical environments to ensure conformance to standards.	
4.A.1.a.2.b.17	Inspect operations of green energy facilities.	
4.A.1.a.2.b.18	Monitor conditions at energy-producing landfills.	
4.A.1.a.2.b.19	Monitor the handling of hazardous materials or medical wastes.	
4.A.1.a.2.b.20	Monitor organizational processes.	
4.A.1.a.2.c	Monitor financial data or activities.	
4.A.1.a.2.c.1	Monitor financial information.	
4.A.1.a.2.c.2	Monitor financial activities.	
4.A.1.a.2.c.3	Monitor sales activities.	
4.A.1.a.2.c.4	Monitor flow of cash or other resources.	
4.A.1.a.2.c.5	Monitor financial indicators.	
4.A.1.a.2.c.6	Monitor business indicators.	
4.A.1.a.2.d	Monitor traffic conditions.	
4.A.1.a.2.d.1	Monitor traffic signals.	
4.A.1.a.2.d.2	Time vehicle speed or traffic-control equipment operation.	
4.A.1.a.2.e	Monitor health conditions of humans or animals.	
4.A.1.a.2.e.1	Monitor patient progress or responses to treatments.	
4.A.1.a.2.e.2	Monitor clients to evaluate treatment progress.	
4.A.1.a.2.e.3	Monitor patients following surgeries or other treatments.	
4.A.1.a.2.e.4	Monitor animal behavior or condition.	
4.A.1.a.2.e.5	Monitor health or behavior of people or animals.	
4.A.1.a.2.e.6	Monitor patients to detect health problems.	
4.A.1.a.2.e.7	Monitor patient conditions during treatments, procedures, or activities.	
4.A.1.a.2.e.8	Monitor nutrition related activities of individuals or groups.	
4.A.1.a.2.f	Monitor individual behavior or performance.	
4.A.1.a.2.f.1	Monitor performance of organizational members or partners.	
4.A.1.a.2.f.2	Monitor patron activities to identify problems or potential problems.	
4.A.1.a.2.f.3	Monitor student performance.	
4.A.1.a.2.f.4	Supervise school or student activities.	
4.A.1.a.2.f.5	Enforce rules or policies governing student behavior.	
4.A.1.a.2.f.6	Monitor activities of individuals to ensure safety or compliance with rules.	
4.A.1.a.2.f.7	Monitor student behavior, social development, or health.	
4.A.1.a.2.g	Monitor safety or security of work areas, facilities, or properties.	
4.A.1.a.2.g.1	Monitor environment to ensure safety.	
4.A.1.a.2.g.2	Monitor access or flow of people to prevent problems.	
4.A.1.a.2.g.3	Monitor building premises to ensure occupant or visitor safety.	
4.A.1.a.2.g.4	Locate suspicious objects or vehicles.	
4.A.1.a.2.g.5	Patrol properties to maintain safety.	
4.A.1.a.2.g.6	Monitor work areas to provide security.	
4.A.1.a.2.g.7	Maintain surveillance of individuals or establishments.	
4.A.1.a.2.g.8	Monitor alarm systems.	
4.A.1.a.2.g.9	Monitor work areas or procedures to ensure compliance with safety procedures.	
4.A.1.a.2.g.10	Locate fires or fire danger areas.	
4.A.1.a.2.g.11	Monitor surroundings to detect potential hazards.	
4.A.1.a.2.g.12	Patrol natural areas to ensure safety or enforce regulations.	
4.A.1.a.2.g.13	Monitor work environment to ensure safety or adherence to specifications.	
4.A.1.a.2.h	Monitor external affairs, trends, or events.	
4.A.1.a.2.h.1	Monitor market conditions or trends.	
4.A.1.a.2.h.2	Monitor current trends.	
4.A.1.a.2.h.3	Monitor external affairs or events affecting business operations.	
4.A.1.a.2.h.4	Monitor external factors impacting operations.	
4.A.1.a.2.i	Monitor environmental conditions.	
4.A.1.a.2.i.1	Inspect landscaping to determine treatment needs.	
4.A.1.a.2.i.2	Monitor environmental conditions to detect hazards.	
4.A.1.a.2.i.3	Measure environmental characteristics.	
4.A.1.a.2.i.4	Monitor activities affecting environmental quality.	
4.A.1.a.2.i.5	Assess characteristics of fires.	
4.A.1.a.2.i.6	Inspect condition of natural environments.	
4.A.1.a.2.j	Monitor operation of computer or information technologies.	
4.A.1.a.2.j.1	Monitor the security of digital information.	
4.A.1.a.2.j.2	Monitor the performance of computer networks.	
4.A.1.a.2.j.3	Monitor computer system performance to ensure proper operation.	
4.A.1.a.2.k	Monitor operations to ensure compliance with regulations or standards.	
4.A.1.a.2.k.1	Identify actions needed to bring properties or facilities into compliance with regulations.	
4.A.1.a.2.k.2	Inspect products or operations to ensure that standards are met.	
4.A.1.a.2.k.3	Monitor operations to ensure compliance with safety or security policies or regulations.	
4.A.1.a.2.k.4	Monitor organizational compliance with regulations.	
4.A.1.a.2.k.5	Verify that medical activities or operations meet standards.	
4.A.1.a.2.k.6	Monitor processes for compliance with standards.	
4.A.1.a.2.k.7	Evaluate personnel practices to ensure adherence to regulations.	
4.A.1.a.2.k.8	Monitor operational activities to ensure compliance with regulations or standard operating procedures.	
4.A.1.a.2.k.9	Evaluate construction projects to determine compliance with external standards or regulations.	
4.A.1.a.2.k.10	Determine operational compliance with regulations or standards.	
4.A.1.a.2.k.11	Monitor medical facility activities to ensure adherence to standards or regulations.	
4.A.1.b	Identifying and Evaluating Job-Relevant Information	How is information interpreted to perform this job?
4.A.1.b.1	Identifying Objects, Actions, and Events	Identifying information by categorizing, estimating, recognizing differences or similarities, and detecting changes in circumstances or events.
4.A.1.b.1.a	Mark materials or objects for identification.	
4.A.1.b.1.a.1	Apply identification labels or tags.	
4.A.1.b.1.a.2	Mark agricultural or forestry products for identification.	
4.A.1.b.1.a.3	Mark materials or objects for identification.	
4.A.1.b.1.a.4	Mark products, workpieces, or equipment with identifying information.	
4.A.1.b.1.a.5	Label production materials.	
4.A.1.b.1.a.6	Attach identification information to products, items or containers.	
4.A.1.b.1.b	Identify business or organizational opportunities.	
4.A.1.b.1.b.1	Identify opportunities for green initiatives.	
4.A.1.b.1.b.2	Identify potential customers.	
4.A.1.b.1.b.3	Identify investment opportunities or strategies.	
4.A.1.b.1.b.4	Identify strategic business investment opportunities.	
4.A.1.b.1.b.5	Identify new applications for existing technologies.	
4.A.1.b.1.b.6	Identify opportunities to improve operational efficiency.	
4.A.1.b.1.b.7	Identify sustainable business practices.	
4.A.1.b.1.b.8	Identify job or employment opportunities.	
4.A.1.b.2	Inspecting Equipment, Structures, or Materials	Inspecting equipment, structures, or materials to identify the cause of errors or other problems or defects.
4.A.1.b.2.a	Administer diagnostic tests to assess patient health.	
4.A.1.b.2.a.1	Test patient heart or lung functioning.	
4.A.1.b.2.a.2	Administer screening tests to determine abilities or treatment needs.	
4.A.1.b.2.a.3	Test patient hearing.	
4.A.1.b.2.a.4	Test patient vision.	
4.A.1.b.2.a.5	Conduct diagnostic tests to determine patient health.	
4.A.1.b.2.a.6	Administer drug screening tests.	
4.A.1.b.2.a.7	Test patient nervous system functioning.	
4.A.1.b.2.a.8	Test biological specimens to gather information about patient conditions.	
4.A.1.b.2.b	Evaluate green technologies or processes.	
4.A.1.b.2.b.1	Test green technologies or processes.	
4.A.1.b.2.b.2	Test green technology installations to verify performance.	
4.A.1.b.2.c	Test characteristics of materials or products.	
4.A.1.b.2.c.1	Test materials, solutions, or samples.	
4.A.1.b.2.c.2	Test products for functionality or quality.	
4.A.1.b.2.c.3	Analyze test results.	
4.A.1.b.2.c.4	Test characteristics of materials or structures.	
4.A.1.b.2.c.5	Test chemical or physical characteristics of materials or products.	
4.A.1.b.2.c.6	Test fluids to identify contamination or other problems.	
4.A.1.b.2.c.7	Test quality of materials or finished products.	
4.A.1.b.2.d	Inspect vehicles.	
4.A.1.b.2.d.1	Inspect motor vehicles.	
4.A.1.b.2.d.2	Inspect mechanical components of vehicles to identify problems.	
4.A.1.b.2.d.3	Inspect vehicles to determine overall condition.	
4.A.1.b.2.d.4	Inspect locomotives or other railroad equipment.	
4.A.1.b.2.d.5	Inspect aircraft or aircraft components.	
4.A.1.b.2.d.6	Inspect structural components of vehicles to identify problems.	
4.A.1.b.2.e	Inspect facilities or equipment.	
4.A.1.b.2.e.1	Inspect work sites to determine condition or necessary repairs.	
